Monitored/close contacts,Discharged after being monitored,Followed up,Daty,Faritra,Tilytot,Tilyvao,Tilyvaotomb,Itot,Ivao,Rtot,Rvao,Matot,Matvao,Tsyvoatomb,Tsyvoa,Tahaketv,Tahaketvtstomb
,,,2020-03-13,Kenya,,,22,1,1,,,,,21,,0.9545,
17,,,2020-03-14,Kenya,,,22,3,2,,,,,20,,0.9091,
,,,2020-03-15,Kenya,,,,,,,,,,,,,
,,,2020-03-16,Kenya,,,,,,,,,,,,,
,,,2020-03-17,Kenya,,,,,,,,,,,,,
,,,2020-03-18,Kenya,132,,50,7,3,,,,,47,,0.94,
145,,,2020-03-19,Kenya,,,,,,,,,,,,,
,44,,2020-03-20,Kenya,,,,,,,,,,,,,
,,,2020-03-21,Kenya,,,,,,,,,,,,,
,,,2020-03-22,Kenya,,,205,15,8,,,,,197,,0.961,
646,96,550,2020-03-23,Kenya,,,205,16,1,,,,,204,,0.9951,
,,,2020-03-24,Kenya,,360,360,25,9,,,,,351,351,0.975,0.975
,,,2020-03-25,Kenya,,,288,28,3,,1,,,285,,0.9896,
,,,2020-03-25,Mombasa,,,,,,,,,,,,,
,,,2020-03-25,Nairobi,,,,,,,,,,,,,
,,,2020-03-26,Kilifi,,,,,2,,,,,,,,
,,,2020-03-26,Nairobi,,,,,1,,,,,,,,
906,123,,2020-03-26,Kenya,,,288,31,3,,,1,1,285,,0.9896,
,,,2020-03-27,Kajiado,,,,1,,,,,,,,,
,,,2020-03-27,Kwale,,,,1,,,,,,,,,
,,,2020-03-27,Kilifi,,,,6,,,,,,,,,
,,,2020-03-27,Mombasa,,,,2,,,,,,,,,
,,,2020-03-27,Nairobi,,,,21,,,,,,,,,
,,,2020-03-27,Kenya,,,288,31,0,,,,,288,,1,
,,,2020-03-28,Mombasa,,,,,,,,,,,,,
,,,2020-03-28,Nairobi,,,,,,,,,,,,,
978,,,2020-03-28,Kenya,,,288,38,7,,,,,281,,0.9757,
,,,2020-03-29,Mombasa,,,,,,,,,,0,,,
,,,2020-03-29,Nairobi,,,,,,,,,,0,,,
1426,215,,2020-03-29,Kenya,,,288,42,4,,,,,284,,0.9861,
,,,2020-03-30,Kitui,,,,1,,,,,,0,,,
,,,2020-03-30,Kwale,,,,1,,,,,,0,,,
,,,2020-03-30,Kajiado,,,,1,,,,,,0,,,
,,,2020-03-30,Kilifi,,,,6,,,,,,0,,,
,,,2020-03-30,Mombasa,,,,4,,,,,,0,,,
,,,2020-03-30,Nairobi,,,,37,,,,,,0,,,
,,,2020-03-30,Kenya,,300,300,50,8,,,,,292,292,0.9733,0.9733
,,,2020-03-31,Kirinyaga,,,,,2,,,,,,,,
,,,2020-03-31,Mombasa,,,,,,,,,,,,,
,,,2020-03-31,Nairobi,,,,,,,,,,,,,
,,,2020-03-31,Kenya,,,481,59,9,,,,,472,,0.9813,
,,,2020-04-01,Nyamira,,,,,1,,,,,,,,
,,,2020-04-01,Muranga,,,,,1,,,,,,,,
,,,2020-04-01,Machakos,,,,,1,,,,,,,,
,,,2020-04-01,Kilifi,,,,,1,,,,,,,,
,,,2020-04-01,Kakamega,,,,,1,,,,,,,,
,,,2020-04-01,Kiambu,,,,,2,,,,,,,,
,,,2020-04-01,Mombasa,,,,,7,,,,,,,,
,,,2020-04-01,Nairobi,,,,,1,,,,,,,,
1675/969,,706,2020-04-01,Kenya,,,481,81,22,,,,,459,,0.9543,
,,,2020-04-02,Mombasa,,,,,,,,,,,,,
,,,2020-04-02,Nairobi,,,,,,,,,,,,,
,,,2020-04-02,Kenya,,662,662,110,29,,,,2,633,633,0.9562,0.9562
,,,2020-04-03,Nyeri,,,,,1,,,,,,,,
,,,2020-04-03,Laikipia,,,,,1,,,,,,,,
,,,2020-04-03,Kiambu,,,,,1,,,,,,,,
,,,2020-04-03,Mombasa,,,,,2,,,,,,,,
,,,2020-04-03,Nairobi,,,,,7,,,,,,,,
1433,,,2020-04-03,Kenya,,,364,122,12,,,,1,352,,0.967,
,,,2020-04-04,Mombasa,,,,,,,,,,,,,
,,,2020-04-04,Nairobi,,,,,,,,,,,,,
,,,2020-04-04,Kenya,,,364,126,4,,,,,360,,0.989,
,,,2020-04-05,Mombasa,,,,,,,,,,,,,
,,,2020-04-05,Nairobi,,,,,,,,,,,,,
,,,2020-04-05,Kenya,,,364,142,16,,,,,348,,0.956,
,,,2020-04-06,Mombasa,,,,,,,,,,,,,
,,,2020-04-06,Nairobi,,,,,,,,,,,,,
,,,2020-04-06,Kenya,4277,,364,158,16,,,,2,348,,0.956,
,,,2020-04-07,Mandera,,,,,2,,,,,,,,
,,,2020-04-07,Kiambu,,,,,1,,,,,,,,
,,,2020-04-07,Kisii,,,,,1,,,,,,,,
,,,2020-04-07,Machakos,,,,,1,,,,,,,,
,,,2020-04-07,Mombasa,,,,,2,,,,,,,,
,,,2020-04-07,Nairobi,,,,,7,,,,,,,,
,,,2020-04-07,Kenya,5000,,544,172,14,,,,,530,,0.9743,
,,,2020-04-08,Mombasa,,,,,,,,,,,,,
,,,2020-04-08,Nairobi,,,,,,,,,,,,,
,1426,578,2020-04-08,Kenya,5278,278,278,179,7,,,,,271,271,0.9748,0.9748
,,,2020-04-09,Mombasa,,,,,2,,,,,,,,
,,,2020-04-09,Nairobi,,,,,3,,,,,,,,
2046,1448,598,2020-04-09,Kenya,,,468,184,5,,,,,463,,0.9893,
,,,2020-04-10,Mombasa,,,,,,,,,,,,,
,,,2020-04-10,Nairobi,,,,,,,,,,,,,
,,,2020-04-10,Kenya,,,468,189,5,,,,,463,,0.9893,
,,,2020-04-11,Mombasa,,,,,1,,,,,,,,
,,,2020-04-11,Nairobi,,,,,1,,,,,,,,
2054,1546,508,2020-04-11,Kenya,,491,491,191,2,,,,,489,489,0.9959,0.9959
,,,2020-04-12,Siaya,,,,,1,,,,,,,,
,,,2020-04-12,Mombasa,,,,,1,,,,,,,,
,,,2020-04-12,Nairobi,,,,,4,,,,,,,,
2160,1660,500,2020-04-12,Kenya,7449,766,766,197,6,25,1,8,1,760,760,0.9922,0.9922
,,,2020-04-13,Machakos,,,,,1,,,,,,,,
,,,2020-04-13,Nakuru,,,,,1,,,,,,,,
,,,2020-04-13,Mandera,,,,,4,,,,,,,,
,,,2020-04-13,Mombasa,,,,,3,,,,,,,,
,,,2020-04-13,Nairobi,,,,,3,,,,,,,,
,,,2020-04-13,Kenya,8000,,551,208,11,,,9,1,540,,0.98,
,,,2020-04-14,Nakuru,,,,,1,,,,,,,,
,,,2020-04-14,Siaya,,,,,1,,,,,,,,
